date,real_gdp,GDD_Agr_R,GDD_Min_R,GDD_Man_R,GDD_Elc_R,GDD_Con_R,GDD_Trd_R,GDD_Trn_R,GDD_Inf_R,GDD_Est_R,GDD_R,Rincpop_q,Rexppop_q,Rwage_q,imp,exp,usdkzt,eurkzt,rurkzt,poil,GDP_DEF,cpi,realest_resed_prim,realest_resed_sec,realest_comm,index_stock_weighted,ntrade_Agr,ntrade_Min,ntrade_Man,ntrade_Elc,ntrade_Con,ntrade_Trd,ntrade_Trn,ntrade_Inf,fed_fund_rate,govsec_rate_kzt_3m,govsec_rate_kzt_1y,govsec_rate_kzt_7y,govsec_rate_kzt_10y,tonia_rate,rate_kzt_mort_0y_1y,rate_kzt_mort_1y_iy,rate_kzt_corp_0y_1y,rate_usd_corp_0y_1y,rate_kzt_corp_1y_iy,rate_usd_corp_1y_iy,rate_kzt_indv_0y_1y,rate_kzt_indv_1y_iy,realest_resed_prim_rus,realest_resed_sec_rus,cred_portfolio,coef_k1,coef_k3,provisions,percent_margin,com_inc, com_exp ,oper_inc,oth_inc,DR
Q1-2010,2434.9,137.1,403.2,244.9,43.0,274.2,287.8,210.9,94.0,221.1,2320.8,22.5,38.7,44.5,5677.7,13581.9,147.7,204.9,4.9,76.7,165.1,153.9,101.3,100.4,100.6,106.9,77.5,99.5,88.5,96.4,105.8,94.8,74.5,70.7,0.1,1.5,3.1,7.8,7.7,0.1,10.7,11.3,14.9,11.0,14.5,12.9,30.3,21.5,100.6,101,193.00,0.31,0.03,83.91,0.06,1125517.36,175988.45,3211104.05,411132.70,0.02
Q2-2010,2506.4,139.7,406.1,273.0,42.8,273.9,309.8,206.1,97.5,197.6,2374.0,24.4,38.7,49.2,7909.4,16312.5,146.8,187.0,4.9,78.7,187.2,156.8,99.8,100.2,100.8,74.6,101.9,100.7,111.5,99.6,99.9,107.6,97.7,103.7,0.2,1.5,2.6,7.3,7.3,0.2,11.2,11.4,14.2,11.0,13.4,12.3,25.5,21.3,99.5,100.3,183.28,0.32,0.06,74.55,0.06,1509069.76,191369.75,3776480.95,369998.20,0.02
Q3-2010,2512.3,116.7,349.5,242.1,43.3,285.0,319.6,247.9,86.6,204.5,2270.6,25.9,46.4,51.1,9278.9,15415.5,147.4,190.2,4.8,76.4,215.9,157.9,100.2,101.1,100.7,108.9,83.5,86.1,88.7,101.0,104.0,103.2,120.3,88.8,0.2,1.2,2.4,7.8,6.8,0.3,12.8,11.1,13.8,10.6,13.2,12.0,24.7,20.9,100,100.4,243.65,0.43,0.25,86.63,0.06,1811025.26,219077.65,3417365.05,361438.00,0.02
Q4-2010,2816.4,125.2,456.9,279.4,44.1,287.0,349.4,305.4,143.7,246.5,2687.8,26.3,47.8,52.2,10025.6,16081.7,147.5,200.6,4.8,86.8,272.7,161.2,101.5,101.9,99.9,111.8,107.3,130.7,115.4,101.9,100.7,109.3,123.2,166.0,0.2,0.9,2.4,8.9,7.9,0.3,11.3,10.5,13.5,9.9,11.6,9.5,28.2,20.3,100.2,100.9,232.46,0.33,0.04,80.06,0.06,2059290.86,178291.85,3913204.35,390177.70,0.02
Q1-2011,2588.7,135.5,410.9,260.1,44.4,274.9,319.9,219.2,108.6,216.5,2464.5,24.9,47.0,48.5,7305.4,16576.7,146.4,199.9,5.0,104.9,202.4,167.0,104.3,103.4,100.1,101.2,108.3,89.9,93.1,100.7,95.8,91.6,71.8,75.6,0.2,0.9,1.7,8.9,8.9,0.2,13.4,11.1,12.9,10.4,11.4,6.3,28.4,22.8,101.5,101.3,234.03,0.32,0.04,78.81,0.06,1784063.16,239975.45,4062113.55,411328.50,0.03
Q2-2011,2716.2,137.4,408.4,287.4,44.7,267.2,344.4,212.1,106.8,194.8,2586.1,25.6,48.1,50.1,11144.2,25591.2,145.6,209.6,5.2,117.1,220.9,170.0,100.9,101.6,100.0,89.7,101.3,99.4,110.5,100.7,97.2,107.7,96.8,98.3,0.1,0.8,1.8,8.4,8.4,0.2,13.1,11.8,12.6,9.7,11.4,10.0,24.5,22.2,101.6,101.1,239.85,0.34,0.04,78.75,0.06,3208277.16,303592.85,4482621.55,464637.80,0.03
Q3-2011,2686.6,151.0,332.4,260.3,45.8,291.6,359.6,257.1,101.4,202.7,2417.8,27.5,52.3,53.9,10379.1,22174.4,146.6,207.4,5.1,112.5,276.4,171.9,101.0,101.8,100.4,72.9,109.9,81.4,90.6,102.4,109.1,104.4,121.2,95.0,0.1,1.2,1.8,9.2,9.2,0.5,10.6,11.8,11.9,9.0,11.2,7.8,22.0,22.2,101.7,101,258.85,0.33,0.04,89.65,0.06,5072943.26,291576.45,4935996.45,439672.20,0.03
Q4-2011,3045.2,214.0,435.2,278.8,48.3,286.1,380.2,313.5,178.9,281.0,2915.7,29.4,54.8,58.0,11521.1,20851.6,147.9,199.6,4.7,109.3,314.5,173.6,101.2,102.1,96.7,98.3,141.7,130.9,107.1,105.4,98.1,105.7,121.9,176.4,0.1,1.0,1.9,4.2,4.9,0.8,11.6,11.3,11.3,8.1,10.4,6.5,21.5,22.7,101.8,102.4,274.81,0.29,0.04,95.32,0.06,7161793.76,1595814.55,4143869.95,471466.60,0.03
Q1-2012,2763.2,128.2,407.5,282.0,47.5,271.8,362.1,233.6,123.2,219.6,2585.6,27.6,52.9,54.1,9171.5,20759.3,148.1,194.1,4.9,118.6,220.7,175.5,102.5,100.9,102.1,112.7,59.9,93.6,101.1,98.4,95.0,95.2,74.5,68.8,0.1,1.0,2.3,4.4,4.8,0.1,11.5,12.1,11.4,7.3,11.0,9.5,22.1,23.6,103.3,103.2,278.55,0.30,0.04,93.95,0.06,8180743.56,494057.85,4897327.05,467215.10,0.03
Q2-2012,2886.1,127.2,404.2,297.2,46.9,270.6,393.8,226.5,117.9,212.3,2713.9,28.5,50.7,56.3,10940.6,23380.8,148.2,190.2,4.8,108.9,233.9,178.3,104.1,105.0,103.9,78.1,99.3,99.2,105.4,98.7,99.6,108.8,97.0,95.7,0.2,1.4,1.7,5.0,5.0,0.6,12.7,12.4,11.3,6.8,11.2,10.0,21.2,22.9,103.1,102.8,288.36,0.27,0.05,109.60,0.05,9804025.66,501211.15,5441141.75,473144.10,0.03
